Purchase ID,Datum,Leverantör,Produkt,Kategori,Enhet,Antal,Antal kvar,Pris Ex.m,Locked,Verifikat,Date created,Date modified,Date counted
35,2022-02-18,Frinab Fristad Industri AB,Sladdställ SKX Vit L1500/500 16+6,El,St,300,0,6440,1,"A142, A166",2023-12-31T21:24:26.000Z,2024-01-06T15:44:15.000Z,2024-01-06T15:44:15.000Z
36,2022-03-29,Frinab Fristad Industri AB,Dragavlastare,El,St,600,110,667.2,1,A167,2023-12-31T21:29:39.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
37,2022-03-24,CEOS AB,Limfog Björk 19mm,Limfog,M 2,51.24,0,28401.6,1,A159,2024-01-01T09:10:49.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
38,2022-03-24,CEOS AB,Plywood Björk 3mm,Plywood,M 2,93.03,6.5,18047.2,1,A159,2024-01-01T09:12:16.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
39,2022-03-24,CEOS AB,Poppel 52mm,Massivtra,M 3,0.44,0,7149.6,1,A159,2024-01-01T09:14:13.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
40,2022-05-20,Happy Homes,Kvistlack Beckers,Farg,Liter,0.5,0,173.44,1,A188,2024-01-01T09:16:38.000Z,2024-01-03T08:18:58.000Z,
41,2022-06-15,Fargbroderna I Malung Aktiebolag,"TRÄSKRUV TFT JETTING 2,5x16 FZB",Skruv,Pkt 200,35,0,705.6,1,A211,2024-01-01T09:22:26.000Z,2024-01-03T08:18:58.000Z,
42,2022-06-30,BOLIST Handelsgruppen Malung,LIMFOG FURU OBEHANDLAD,Limfog,M 2,0.54,0.2,183.2,1,A215,2024-01-01T09:26:16.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
43,2022-07-01,Happy Homes,Snickerislip Scotte Bas C S6020-Y40R,Farg,Liter,0.9,0,212.8,1,A216,2024-01-01T09:30:21.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
44,2022-09-23,Happy Homes,LADY SUPREME FINISH 40 C 0162 MÖRKBRUN,Farg,Liter,0.68,0.2,300,1,A265,2024-01-01T09:32:55.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
45,2022-07-31,Fargbroderna I Malung Aktiebolag,HERDINS OLJEBETS 907,Farg,Liter,0.28,0,135.2,1,A224,2024-01-01T09:38:06.000Z,2024-01-06T15:44:15.000Z,2024-01-06T15:44:15.000Z
46,2022-09-30,Happy Homes,LADY SUPREME FINISH 40 C S7020-Y50R,Farg,Liter,0.68,0.2,300,1,A255,2024-01-01T09:41:50.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
47,2022-09-19,A Plast Aktiebolag,Ljuspipa,Ljuspipor,St,3600,0,20576.8,1,A273,2024-01-01T09:46:46.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
48,2022-09-19,A Plast Aktiebolag,Ljuspipa Passbit 1,Ljuspipor,St,3400,0,12276.86,1,A273,2024-01-01T09:48:04.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
49,2022-09-19,A Plast Aktiebolag,Ljuspipa Passbit 2,Ljuspipor,St,3400,0,12276.86,1,A273,2024-01-01T09:50:01.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
50,2022-09-30,BOLIST Handelsgruppen Malung,TRÄSKRUV TFT EFZ 3X16,Skruv,Pkt 250,2,0,138,1,A288,2024-01-01T21:23:31.000Z,2024-01-03T08:18:58.000Z,
51,2022-09-30,BOLIST Handelsgruppen Malung,"TRÄSKRUV TFT EFZ 4,5X40MM",Skruv,Pkt 200,2,0,171.36,1,A255,2024-01-01T21:24:25.000Z,2024-01-06T15:44:15.000Z,2024-01-06T15:44:15.000Z
52,2022-10-15,BOLIST Handelsgruppen Malung," TRÄSKRUV TKT EFZ 3X12MM",Skruv,Pkt,1,0,71.21,1,A319,2024-01-01T21:26:45.000Z,2024-01-03T08:18:58.000Z,
53,2022-09-30,Fargbroderna I Malung Aktiebolag,"MDF BOARD 19mm x1,22x2,44 ",MDF,M 2,2.97,0.2,719.2,1,A229,2024-01-01T21:31:07.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
